都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
472018,,沖縄県,那覇市,レクサス 那覇,,,那覇市 天久2-31-1,,26.2348821,127.6865355,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,CoCo壱番屋 那覇天久店,,,那覇市 天久1-28,,26.2334169,127.6930856,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,おもろきむちや,,,那覇市 天久1-27-26,,26.2336214,127.6924624,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ニシムラモータース,,,那覇市 天久794-6,1F,26.236794,127.686839,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,レクサス cpo那覇,,,那覇市 天久2-7-4,,26.2321294,127.6861205,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,はなまる那覇店,,,那覇市 天久2-6-8,,26.2315929,127.6861734,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,a paz hair,,,那覇市 天久1-6-23,B号,26.22975,127.691716,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ワンツースリー 那覇校,,,那覇市 天久816,2F,26.233326,127.686804,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,"Le,shoji",,,那覇市 天久2-4-15,,26.2314946,127.6865038,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,One World(ワンワールド),,,那覇市 おもろまち4-6-24,ドリームビルディング,26.2273589,127.6961281,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,けんぱーのすばやー,,,那覇市 おもろまち4-9-11,,26.2275946,127.6962893,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,テックランド 那覇本店,,,那覇市 おもろまち2-5-33,,26.2264349,127.6921935,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ワイン酒場 MARU,,,那覇市 おもろまち4-10-43,,26.2269577,127.6980879,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,サンエー 那覇メインプレイス,,,那覇市 おもろまち4-4-9,サンエー那覇メインプレイス,26.2256596,127.6950574,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,生け簀の銀次 新都心店,,,那覇市 おもろまち4-12-9,SAIビル,26.2277851,127.6993942,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,エマエンタープライズ,,,那覇市 おもろまち1-5-26,,26.2224435,127.6935834,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,健康ダイニング 万菜 ばんざい,,,那覇市 おもろまち3-7-26,2F,26.2307233,127.69548,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,Cabbage Lodge(キャベッジロッジ),,,那覇市 おもろまち2-2-20,,26.2262461,127.6891571,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,A&W 那覇新都心おもろ店,,,那覇市 おもろまち4-21-22,,26.227444,127.7007356,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,DartsBar Southern Garden,,,那覇市 おもろまち4-6-18,,26.227247,127.696074,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,おもろダイニング 山葵,,,那覇市 おもろまち4-8-8,,26.2267446,127.6971212,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,CHEF’S GRILLE 新都心店,,,那覇市 おもろまち4-12-9,釆ビル,26.2277919,127.6993902,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ジョイフル おもろまち店,,,那覇市 おもろまち1-6-3,ジョイフルおもろまち店,26.2222869,127.6970135,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,地酒炭火焼 ちちり,,,那覇市 おもろまち4-8-7,,26.2266863,127.6970793,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ひがし食堂,,,那覇市 おもろまち3-2-1,,26.2284533,127.6939287,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
