都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
270008,,大阪府,,赤おに家福島店,,Akaoniya Fukushimaten,大阪府大阪市福島区 福島１丁目２－９,,34.6944822,135.4882472,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ローリーポップイングリッシュハウス,,Lollypop English House,大阪府豊中市 刀根山６丁目９－１１,,34.7989831,135.4534594,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,チュービ（ｔｕｂｉ）,,Tubi,大阪府大阪市西区 靱本町１丁目１３－１６ 川越靭ビル１階,,34.6842744,135.4956447,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,アルファ塾下松教室,,ALPHAJUKE Shimomatsu Class,大阪府岸和田市 下松町８２９－１ 朝日ビル２階Ｄ１号,,34.4554906,135.3971653,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ＰＬＰ会館,,PLP Kaikan,大阪府大阪市北区 天神橋３丁目９－２７ ＰＬＰ会館２階,,34.7020258,135.5120475,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,Ｒｅ・Ｆｉｌｌ,,Re FillCANMA boutique,大阪府泉佐野市 下瓦屋２丁目２－７７ イコラモール泉佐野２階,,34.42229,135.3271822,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,Ｒｉｓｅｐｌａｔｚ津久野駅前店,,Riseplatz Tsukuno Ekimaeten,大阪府堺市西区 津久野町１丁３－２,,34.54149,135.4685917,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,エレキの店,,Ereki no Mise,大阪府東大阪市 永和２丁目２－２２,,34.6638253,135.5756594,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ウンコちゃんの家具屋さんブリブリ門真店,,Unkochan no Kaguyasan Buriburi Kadomaten,大阪府門真市 岸和田１丁目１－２０,,34.7321575,135.6170467,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,カーショップグレス（ＧＲＥＳ）,,Carshop GRES,大阪府四條畷市 大字中野５１２,,34.7409233,135.6348606,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
