WT,600 nM,300 nM,150 nM,75 nM
54.4,0.08563671,0.07037658,0.05091497,0.03194183
54.6,0.08541387,0.07020708,0.05109577,0.03208039
54.8,0.08522212,0.06997949,0.05125378,0.0322813
55.0,0.08502707,0.06974997,0.05139646,0.03249409
55.2,0.08485817,0.06972747,0.05149771,0.03284139
55.4,0.08472567,0.06989219,0.05140375,0.03327694
55.6,0.0847673,0.07029652,0.05115472,0.03370456
55.8,0.08502357,0.07075815,0.05084611,0.03416214
56.0,0.08555433,0.07126837,0.05038836,0.03469252
56.2,0.08628339,0.0716194,0.04977907,0.03519521
56.4,0.08710563,0.07194072,0.04911558,0.03560573
56.6,0.08799157,0.07231643,0.04858105,0.03599553
56.8,0.0888569,0.07279245,0.04819586,0.03627746
57.0,0.08973231,0.07337839,0.04809988,0.03647261
57.2,0.09059441,0.07403913,0.04835993,0.03664639
57.4,0.09146143,0.07459114,0.04877603,0.03677832
57.6,0.09219664,0.07492322,0.04911361,0.03682032
57.8,0.09282617,0.07507416,0.04930024,0.03672032
58.0,0.09310317,0.0750504,0.04938482,0.03652418
58.2,0.09301115,0.07499691,0.04941401,0.0362196
58.4,0.09272795,0.07506315,0.04951504,0.0359212
58.6,0.09249974,0.07521552,0.04969403,0.03573386
58.8,0.09236748,0.07544073,0.0499463,0.03577055
59.0,0.09237079,0.07571301,0.05016862,0.03586897
59.2,0.09244062,0.07602298,0.05035611,0.03601831
59.4,0.09260367,0.07632692,0.05046522,0.03620171
59.6,0.09282108,0.07668461,0.05056234,0.03634535
59.8,0.09300364,0.07699711,0.05073916,0.03641582
60.0,0.09315859,0.07726921,0.05114056,0.03647823
60.2,0.09337262,0.07749007,0.05164402,0.03649795
60.4,0.09354924,0.07774198,0.05222509,0.03642767
60.6,0.09364127,0.07795263,0.05282391,0.03632963
60.8,0.09368393,0.0781068,0.05326169,0.03619602
61.0,0.09375977,0.07813419,0.05328063,0.03597829
61.2,0.09384383,0.07812371,0.05295879,0.0357828
61.4,0.0939623,0.07800529,0.05245882,0.03562384
61.6,0.09417597,0.0779027,0.05184711,0.03549825
61.8,0.09456957,0.07781803,0.05125323,0.03538413
62.0,0.09520129,0.07779982,0.05081588,0.03538219
62.2,0.09607883,0.07767797,0.05052181,0.0355314
62.4,0.09705396,0.07746027,0.05042776,0.03578775
62.6,0.0980593,0.07715064,0.05054832,0.03614062
62.8,0.09907895,0.07674073,0.05096165,0.0365907
63.0,0.10016357,0.07626693,0.05160673,0.03706146
63.2,0.10120256,0.07580795,0.05251285,0.03743247
63.4,0.10212185,0.0753787,0.05346138,0.0377979
63.6,0.1027784,0.07491505,0.05436869,0.03803166
63.8,0.1031701,0.07457016,0.05508684,0.03811624
64.0,0.10319192,0.07437902,0.05570264,0.03806885
64.2,0.10285322,0.07435474,0.05616184,0.0379809
64.4,0.10229014,0.07450198,0.05651326,0.03782413
64.6,0.10161465,0.07474916,0.05675777,0.0377555
64.8,0.10087072,0.07501093,0.05697111,0.03781366
65.0,0.10013669,0.07533829,0.05709724,0.03790742
65.2,0.09961622,0.0757468,0.05708107,0.03798244
65.4,0.09927759,0.0761785,0.05692298,0.03799926
65.6,0.09908803,0.07665983,0.05668817,0.03794063
65.8,0.09906809,0.07715721,0.05638413,0.03784042
66.0,0.09921039,0.07752946,0.05615434,0.03776467
66.2,0.0995577,0.07776775,0.05605178,0.03780824
66.4,0.10011278,0.07789809,0.05610699,0.03798416
66.6,0.10085546,0.07799277,0.0562259,0.0382116
66.8,0.10160987,0.07816168,0.05634247,0.03852032
67.0,0.10219735,0.07855262,0.05627217,0.03888907
67.2,0.10258697,0.07911788,0.0560805,0.03917685
67.4,0.10279886,0.07976493,0.05585555,0.03931012
67.6,0.10287605,0.0803989,0.05570121,0.03932677
67.8,0.10286345,0.080962,0.05559917,0.03916258
68.0,0.10293152,0.08133556,0.05556478,0.03888459
68.2,0.1029911,0.08155928,0.05555512,0.03853076
68.4,0.10302761,0.08170962,0.05553523,0.03812068
68.6,0.1030615,0.08191407,0.05551312,0.03776261
68.8,0.1032021,0.08211285,0.05551083,0.03749238
69.0,0.10338647,0.08236846,0.05557408,0.03726944
69.2,0.10352869,0.08262979,0.05575228,0.03709198
69.4,0.1037788,0.08291451,0.05608517,0.03708818
69.6,0.1040727,0.08304166,0.05653075,0.03724879
69.8,0.1043043,0.08313638,0.05706546,0.03753722
70.0,0.10437949,0.0832008,0.05765253,0.0379385
70.2,0.10437029,0.08338343,0.05821873,0.03844609
70.4,0.10418402,0.08375444,0.05867843,0.03909109
70.6,0.10388833,0.08434134,0.05900376,0.03975284
70.8,0.10365327,0.08480267,0.0592524,0.04039216
71.0,0.10356662,0.08501419,0.05944042,0.04093375
71.2,0.10363268,0.08494675,0.05953325,0.04142279
71.4,0.10384964,0.08466407,0.05942413,0.04173232
71.6,0.10416022,0.08427022,0.05918913,0.04184748
71.8,0.10442368,0.0839444,0.05890272,0.04179483
72.0,0.10459303,0.08360516,0.05870423,0.04173648
72.2,0.10477976,0.08321671,0.0586743,0.04164868
72.4,0.10498371,0.08272383,0.05885193,0.04149886
72.6,0.10517058,0.08218577,0.05920804,0.04135335
72.8,0.10530143,0.08164368,0.05960444,0.04121063
73.0,0.1054409,0.08129174,0.05990857,0.0410379
73.2,0.10546031,0.08102655,0.0600403,0.04083299
73.4,0.10541369,0.08090458,0.06006382,0.04057805
73.6,0.10538891,0.08091211,0.06001324,0.04031767
73.8,0.10546419,0.0810749,0.05999386,0.04010737
74.0,0.10563466,0.08137103,0.06000781,0.04002035
74.2,0.1059133,0.08177409,0.06007473,0.04000207
74.4,0.10614228,0.08216819,0.06016294,0.04012634
74.6,0.10630498,0.08261847,0.06029818,0.04033826
74.8,0.10638468,0.08313538,0.06037186,0.0406721
75.0,0.10642743,0.08369566,0.06039795,0.04101225
75.2,0.1063276,0.08432955,0.06044481,0.04131448
75.4,0.10621627,0.08487096,0.06061282,0.04160717
75.6,0.10607759,0.08515762,0.06092198,0.04188609
75.8,0.1059825,0.08532785,0.06134935,0.04202009
76.0,0.10580543,0.08537721,0.06176623,0.0420273
76.2,0.10568242,0.08532117,0.06208655,0.04201632
76.4,0.10561806,0.08528211,0.06217204,0.04188449
76.6,0.10566246,0.08537496,0.06194364,0.04170841
76.8,0.10584937,0.08543105,0.06161588,0.0415851
77.0,0.10625888,0.08558732,0.0613804,0.04146162
77.2,0.10680077,0.08584646,0.06129077,0.04126131
77.4,0.1074396,0.08610307,0.06138143,0.04101484
77.6,0.10811068,0.08631207,0.06158084,0.0407707
77.8,0.10860043,0.0864172,0.0617517,0.04047368
78.0,0.10891286,0.08643106,0.06182966,0.04025763
78.2,0.10922925,0.08639533,0.0619107,0.04021373
78.4,0.1095726,0.08634064,0.06198561,0.04042452
78.6,0.10981898,0.08617609,0.06216185,0.04070599
78.8,0.10997755,0.08607725,0.06238428,0.04105069
79.0,0.11014404,0.08591689,0.0627879,0.04137366
79.2,0.11018662,0.08573968,0.06318541,0.04164729
79.4,0.11008337,0.08564285,0.06350941,0.04179712
79.6,0.10990027,0.08562925,0.06369811,0.04186621
79.8,0.10981105,0.08564208,0.06386679,0.04191092
80.0,0.10975337,0.08574046,0.06383722,0.0418963
80.2,0.10977409,0.08595087,0.06371332,0.04189588
80.4,0.10981024,0.08627592,0.06367546,0.041908
80.6,0.10987866,0.08680218,0.06371015,0.04197333
80.8,0.10997058,0.08737044,0.06372265,0.04207373
81.0,0.11006072,0.08781024,0.06377525,0.04232503
81.2,0.11002227,0.08812678,0.0638517,0.04264015
81.4,0.10990345,0.08830571,0.06387437,0.04297963
81.6,0.10981412,0.08833075,0.06380566,0.04334648
81.8,0.1097434,0.08819931,0.0637237,0.04377452
82.0,0.1097669,0.08803441,0.06357845,0.04419027
82.2,0.10995834,0.08778794,0.06338972,0.04456097
